distance P2222O2O2NTf2_custom P2222O2O2TCB_custom P2228NTf2_custom P2228TCB_custom P2O231NTf2_custom_CLPOL P2O231NTf2_custom P2O231NTf2_LINEAR_custom_CLPOL P2O231NTf2_LINEAR_custom P2O231TCB_custom_CLPOL P2O231TCB_custom P2O231TCB_LINEAR_custom_CLPOL P2O231TCB_LINEAR_custom P5551NTf2_custom_CLPOL P5551NTf2_custom P5551TCB_custom_CLPOL P5551TCB_custom P2O231TCB_customADCH_CLPOL P2O231TCB_customADCH_CLPOL_CCAAscaled P5551TCB_customADCH_CLPOL P5551TCB_customADCH_CLPOL_CCAAscaled
4.701666667 0.1115792696 0.2363409163 0.7606775012 1.189530086 0.02167349928 0.05503569113 0.550562818 0.8277404428 0.01716276592 0.09144003364 0.2843725539 0.5691750655 0.5645661621 0.7550369935 0.3188133124 0.5829530446 0.05275012288 0.05650624532 0.5632884021 0.5311951473
4.805 0.1715441484 0.3421546745 0.9625932555 1.366967969 0.04794819688 0.1044903578 0.6794404064 0.9854521111 0.03545355078 0.1561558505 0.3869268144 0.7106200545 0.7284832231 0.9403934777 0.43063966 0.7396907715 0.09490325783 0.1021396774 0.713744549 0.6907376616
4.908333333 0.2557354452 0.469672803 1.19240691 1.518252601 0.09214000331 0.1808701107 0.7893662509 1.114270859 0.06722496024 0.2484810635 0.4985699652 0.8491735119 0.8847614196 1.109576256 0.5520807885 0.8978364732 0.1601534877 0.1747203764 0.8652413727 0.8602210719
5.011666667 0.3680482188 0.6140749174 1.432917187 1.642739482 0.1594142009 0.2865049224 0.8774321581 1.209544545 0.1188661844 0.3721288229 0.6214328085 0.9832671038 1.024350509 1.247348674 0.6828183396 1.055623951 0.2553413444 0.279838976 1.01579976 1.03884872
5.115 0.5071202415 0.7737689176 1.663255645 1.746097469 0.2555085554 0.4216845196 0.9438198495 1.28253628 0.1942091083 0.5317523132 0.7636028742 1.124048302 1.153324415 1.364047754 0.8250479368 1.217631703 0.3844601775 0.4233647862 1.167087653 1.22281583
5.218333333 0.669992412 0.9357797457 1.864137333 1.827686006 0.379416943 0.5866024934 1.010707361 1.354880305 0.2948423331 0.7255627178 0.9227714574 1.277152178 1.272187783 1.470127371 0.9803382259 1.391422927 0.5461164194 0.6013701127 1.327204126 1.407720756
5.321666667 0.8479779354 1.102137896 2.025540072 1.894438111 0.5332573955 0.7811634624 1.09640037 1.449642693 0.4212785655 0.9505524284 1.099694063 1.450900422 1.40795492 1.587352611 1.147961785 1.577109987 0.7377015907 0.8105768912 1.505129148 1.603990914
5.425 1.032944717 1.262994898 2.132798374 1.940913488 0.7160047437 0.9993132608 1.225818719 1.587325752 0.5748689692 1.194335773 1.287122021 1.64437466 1.561967367 1.733963825 1.328261311 1.779197428 0.9535021743 1.046147242 1.693514327 1.811167732
5.528333333 1.21922646 1.418778812 2.18672705 1.964119052 0.9225256695 1.239121462 1.39813514 1.777229409 0.75910766 1.458242847 1.481173172 1.852840245 1.749612966 1.912164268 1.526224227 1.998878283 1.190023186 1.302929511 1.893887611 2.026499066
5.631666667 1.396163396 1.569052752 2.20225871 1.969562147 1.151694903 1.492765083 1.620739644 2.016819006 0.9712501101 1.731134102 1.668185742 2.065711979 1.966934201 2.123629281 1.740250816 2.209751437 1.438886202 1.569142529 2.094728515 2.234636592
